home,home_abb,home_seed,home_score,away,away_abb,away_seed,away_score,location,innings,date,year,home_conf,away_conf
Furman,FURM,NA,5,NA,NA,NA,7,NA,9,2015-02-13,2015,SoCon,NA
Ga. Southern,GASO,NA,3,Bethune-Cookman,BCU,NA,0,NA,9,2015-02-13,2015,Sun Belt,MEAC
Auburn,AUB,NA,2,Binghamton,BING,NA,0,NA,9,2015-02-13,2015,SEC,America East
Wofford,WOF,NA,8,Boston College,BC,NA,4,NA,9,2015-02-13,2015,SoCon,ACC
UC Santa Barbara,UCSB,NA,8,BYU,BYU,NA,1,NA,9,2015-02-13,2015,Big West,WCC
Baylor,BAY,NA,8,Cal Poly,CP,NA,6,NA,9,2015-02-13,2015,Big 12,Big West
Texas St.,TXST,NA,7,UC Davis,UCD,NA,10,NA,10,2015-02-13,2015,Sun Belt,Big West
Fresno St.,FRES,NA,5,UC Irvine,UCI,NA,4,NA,9,2015-02-13,2015,MWC,Big West
FGCU,FGCU,NA,0,Central Mich.,CMU,NA,2,NA,9,2015-02-13,2015,ASUN,MAC
Charleston So.,CHSO,NA,8,Chicago St.,CSU,NA,1,NA,9,2015-02-13,2015,Big South,WAC
Mississippi St.,MSST,NA,6,Cincinnati,UC,NA,2,NA,9,2015-02-13,2015,SEC,AAC
Fla. Atlantic,FAU,NA,16,UConn,CONN,NA,5,NA,9,2015-02-13,2015,C-USA,AAC
CSU Bakersfield,CSUB,NA,0,Creighton,CREI,NA,5,NA,9,2015-02-13,2015,WAC,Big East
USC Upstate,USCU,NA,11,Dayton,DAY,NA,4,NA,9,2015-02-13,2015,ASUN,Atlantic 10
Presbyterian,PRES,NA,13,Delaware St.,DEST,NA,6,NA,9,2015-02-13,2015,Big South,MEAC
Wake Forest,WF,NA,3,Delaware,DEL,NA,2,NA,9,2015-02-13,2015,ACC,CAA
California,CAL,NA,1,Duke,DUKE,NA,7,NA,9,2015-02-13,2015,Pac-12,ACC
Georgia,UGA,NA,18,Eastern Ill.,EIU,NA,3,NA,9,2015-02-13,2015,SEC,OVC
ETSU,ETSU,NA,7,Eastern Ky.,EKU,NA,3,NA,9,2015-02-13,2015,SoCon,OVC
Arizona,ARIZ,NA,7,Eastern Mich.,EMU,NA,3,NA,9,2015-02-13,2015,Pac-12,MAC
Little Rock,LR,NA,6,Evansville,EVAN,NA,3,NA,9,2015-02-13,2015,Sun Belt,MVC
Georgia St.,GAST,NA,11,Fordham,FORD,NA,3,NA,9,2015-02-13,2015,Sun Belt,Atlantic 10
UCLA,UCLA,NA,14,Hofstra,HOF,NA,2,NA,9,2015-02-13,2015,Pac-12,CAA
Texas A&M,TAMU,NA,19,Holy Cross,HC,NA,2,NA,9,2015-02-13,2015,SEC,Patriot
Arkansas St.,ARST,NA,0,Illinois St.,ILST,NA,3,NA,9,2015-02-13,2015,Sun Belt,MVC
La.-Monroe,ULM,NA,6,Indiana St.,INST,NA,11,NA,9,2015-02-13,2015,Sun Belt,MVC
Stanford,STAN,NA,2,Indiana,IU,NA,4,NA,9,2015-02-13,2015,Pac-12,Big Ten
Gardner-Webb,GW,NA,6,James Madison,JMU,NA,9,NA,9,2015-02-13,2015,Big South,CAA
LSU,LSU,NA,4,Kansas,KU,NA,1,NA,9,2015-02-13,2015,SEC,Big 12
Winthrop,WIN,NA,9,Kent St.,KENT,NA,1,NA,9,2015-02-13,2015,Big South,MAC
Stetson,STE,NA,0,La Salle,LS,NA,3,NA,9,2015-02-13,2015,ASUN,Atlantic 10
Kennesaw St.,KENN,NA,11,Liberty,LIB,NA,9,NA,9,2015-02-13,2015,ASUN,Big South
Tennessee Tech,TNTC,NA,2,Longwood,LU,NA,8,NA,9,2015-02-13,2015,OVC,Big South
Southeastern La.,SELA,NA,5,Louisiana Tech,LTU,NA,4,NA,9,2015-02-13,2015,Southland,C-USA
Florida A&M,FAMU,NA,4,Marshall,MRSH,NA,3,NA,9,2015-02-13,2015,MEAC,C-USA
Alabama,ALA,NA,6,UMES,UMES,NA,0,NA,9,2015-02-13,2015,SEC,MEAC
Long Beach St.,LBST,NA,3,Michigan,UM,NA,2,NA,9,2015-02-13,2015,Big West,Big Ten
Jacksonville,JAC,NA,2,Middle Tenn.,MTU,NA,7,NA,9,2015-02-13,2015,ASUN,C-USA
Houston,UH,NA,9,Minnesota,MIN,NA,1,NA,9,2015-02-13,2015,AAC,Big Ten
DBU,DBU,NA,15,Monmouth,MON,NA,1,NA,9,2015-02-13,2015,MVC,MAAC
San Diego,USD,NA,3,Morehead St.,MRST,NA,10,NA,9,2015-02-13,2015,WCC,OVC
Southern Miss.,USM,NA,7,Murray St.,MUR,NA,4,NA,9,2015-02-13,2015,C-USA,OVC
UNLV,UNLV,NA,0,Nebraska,NEB,NA,2,NA,9,2015-02-13,2015,MWC,Big Ten
Abilene Christian,ACU,NA,3,Nevada,NEV,NA,12,NA,9,2015-02-13,2015,Southland,MWC
Lamar University,LAM,NA,7,New Mexico St.,NMST,NA,6,NA,9,2015-02-13,2015,Southland,WAC
South Alabama,SAU,NA,7,New Orleans,UNO,NA,3,NA,9,2015-02-13,2015,Sun Belt,Southland
Austin Peay,PEAY,NA,15,Niagara,NU,NA,7,NA,9,2015-02-13,2015,OVC,MAAC
Grand Canyon,GCU,NA,6,North Dakota St.,NDSU,NA,3,NA,9,2015-02-13,2015,WAC,Summit League
Arkansas,ARK,NA,11,North Dakota St.,NDSU,NA,4,NA,9,2015-02-13,2015,SEC,Summit League
NA,NA,NA,1,Northeastern,NEU,NA,3,NA,9,2015-02-13,2015,NA,CAA
Troy,TROY,NA,6,Northwestern St.,NWST,NA,0,NA,9,2015-02-13,2015,Sun Belt,Southland
Oklahoma,OU,NA,6,Notre Dame,ND,NA,1,NA,9,2015-02-13,2015,Big 12,ACC
Florida St.,FSU,NA,7,Oakland,OAK,NA,3,NA,9,2015-02-13,2015,ACC,Horizon
UNC Asheville,UNCA,NA,9,Ohio,OHIO,NA,16,NA,9,2015-02-13,2015,Big South,MAC
Arizona St.,ASU,NA,4,Oklahoma St.,OKST,NA,3,NA,10,2015-02-13,2015,Pac-12,Big 12
Coastal Caro.,CCU,NA,4,Old Dominion,ODU,NA,0,NA,9,2015-02-13,2015,Big South,C-USA
Hawaii,HAW,NA,0,Oregon,UO,NA,12,NA,9,2015-02-13,2015,Big West,Pac-12
Jackson St.,JKST,NA,6,UTRGV,UTRG,NA,5,NA,9,2015-02-13,2015,SWAC,WAC
Elon,ELON,NA,16,Penn St.,PSU,NA,15,NA,9,2015-02-13,2015,CAA,Big Ten
UC Riverside,UCR,NA,3,Portland,POR,NA,1,NA,9,2015-02-13,2015,Big West,WCC
Houston Baptist,HBU,NA,13,Prairie View,PV,NA,3,NA,9,2015-02-13,2015,Southland,SWAC
Western Caro.,WCU,NA,17,Purdue,PUR,NA,6,NA,9,2015-02-13,2015,SoCon,Big Ten
Samford,SAMF,NA,2,Radford,RAD,NA,5,NA,9,2015-02-13,2015,SoCon,Big South
Florida,UF,NA,9,Rhode Island,URI,NA,1,NA,9,2015-02-13,2015,SEC,Atlantic 10
UNCW,UNCW,NA,7,Richmond,RICH,NA,2,NA,9,2015-02-13,2015,CAA,Atlantic 10
Miami (FL),MIAM,NA,5,Rutgers,RUT,NA,2,NA,9,2015-02-13,2015,ACC,Big Ten
Georgia Tech,GT,NA,17,St. John's (NY),SJ,NA,3,NA,9,2015-02-13,2015,ACC,Big East
Seattle U,SEA,NA,11,Saint Mary's (CA),SMC,NA,1,NA,9,2015-02-13,2015,WAC,WCC
A&M-Corpus Christi,AMCC,NA,6,Saint Peter's,SAIN,NA,4,NA,9,2015-02-13,2015,Southland,MAAC
Texas Tech,TTU,NA,9,San Francisco,SF,NA,7,NA,9,2015-02-13,2015,Big 12,WCC
NA,NA,NA,5,San Jose St.,SJSU,NA,2,NA,9,2015-02-13,2015,NA,MWC
Vanderbilt,VAN,NA,4,Santa Clara,SCU,NA,0,NA,9,2015-02-13,2015,SEC,WCC
North Carolina,UNC,NA,7,Seton Hall,SET,NA,1,NA,9,2015-02-13,2015,ACC,Big East
UCF,UCF,NA,4,Siena,SIE,NA,1,NA,9,2015-02-13,2015,AAC,MAAC
TCU,TCU,NA,5,Southern Ill.,SIU,NA,0,NA,9,2015-02-13,2015,Big 12,MVC
UTSA,UTSA,NA,8,Louisiana,ULL,NA,5,NA,9,2015-02-13,2015,C-USA,Sun Belt
Nicholls St.,NIST,NA,0,Stony Brook,SB,NA,6,NA,9,2015-02-13,2015,Southland,America East
FIU,FIU,NA,4,Tennessee,TENN,NA,3,NA,9,2015-02-13,2015,C-USA,SEC
Rice,RICE,NA,1,Texas,UT,NA,3,NA,9,2015-02-13,2015,C-USA,Big 12
Southern California,USC,NA,17,Towson,TOW,NA,1,NA,9,2015-02-13,2015,Pac-12,CAA
Pepperdine,PEPP,NA,3,Tulane,TUL,NA,9,NA,9,2015-02-13,2015,WCC,AAC
The Citadel,CIT,NA,5,Air Force,AFA,NA,3,NA,9,2015-02-13,2015,SoCon,MWC
N.C. A&T,NCAT,NA,1,Navy,NAVY,NA,8,NA,9,2015-02-13,2015,MEAC,Patriot
San Diego St.,SDSU,NA,5,Valparaiso,VAL,NA,4,NA,9,2015-02-13,2015,MWC,Horizon
NC State,NCST,NA,14,Villanova,VU,NA,5,NA,9,2015-02-13,2015,ACC,Big East
North Florida,UNF,NA,1,VMI,VMI,NA,3,NA,9,2015-02-13,2015,ASUN,SoCon
East Carolina,ECU,NA,1,Virginia,UVA,NA,3,NA,9,2015-02-13,2015,AAC,ACC
SFA,SFA,NA,4,Washington St.,WSU,NA,1,NA,9,2015-02-13,2015,Southland,Pac-12
Pacific,PAC,NA,2,Washington,UW,NA,5,NA,9,2015-02-13,2015,WCC,Pac-12
Clemson,CLEM,NA,0,West Virginia,WVU,NA,2,NA,9,2015-02-13,2015,ACC,Big 12
UAB,UAB,NA,4,Western Mich.,WMU,NA,1,NA,9,2015-02-13,2015,C-USA,MAC
Sam Houston St.,SHSU,NA,8,Wichita St.,WICH,NA,5,NA,9,2015-02-13,2015,Southland,MVC
Ole Miss,MISS,NA,9,William & Mary,WM,NA,4,NA,9,2015-02-13,2015,SEC,CAA
Belmont,BEL,NA,7,Wright St.,WRST,NA,14,NA,9,2015-02-13,2015,OVC,Horizon
Jacksonville St.,JVST,NA,13,Youngstown St.,YSU,NA,1,NA,9,2015-02-13,2015,OVC,Horizon
South Carolina,SC,NA,3,Col. of Charleston,COC,NA,6,NA,9,2015-02-13,2015,SEC,CAA
McNeese,MCNS,NA,6,Ark.-Pine Bluff,ARPB,NA,5,NA,9,2015-02-13,2015,Southland,SWAC
UNC Greensboro,UNCG,NA,12,High Point,HPU,NA,8,NA,9,2015-02-13,2015,SoCon,Big South
Mississippi Val.,MVSU,NA,8,UIC,UIC,NA,7,NA,10,2015-02-13,2015,SWAC,Horizon
Texas Southern,TSU,NA,4,NA,NA,NA,8,NA,9,2015-02-13,2015,SWAC,NA
N.C. Central,NCCU,NA,1,Norfolk St.,NORF,NA,4,NA,9,2015-02-13,2015,MEAC,MEAC
New Mexico St.,NMST,NA,1,Illinois,ILL,NA,5,"@Beaumont, Texas",10,2015-02-13,2015,WAC,Big Ten
Toledo,TOL,NA,1,Wright St.,WRST,NA,8,"@Belmont,",9,2015-02-13,2015,MAC,Horizon
James Madison,JMU,NA,5,NA,NA,NA,4,"@Boiling Springs, NC",9,2015-02-13,2015,CAA,NA
South Dakota St.,SDST,NA,6,Northern Ill.,NIU,NA,10,"@Clarksville, TN",9,2015-02-13,2015,Summit League,MAC
Alabama St.,ALST,NA,1,Louisville,UL,NA,5,"@Clearwater, Fla.",9,2015-02-13,2015,SWAC,ACC
South Fla.,USF,NA,2,Cal St. Fullerton,CSF,NA,1,"@Clearwater, Fla.",9,2015-02-13,2015,AAC,Big West
Western Ky.,WKU,NA,3,Maryland,UMD,NA,7,"@Conway, S.C.",9,2015-02-13,2015,C-USA,Big Ten
UTRGV,UTRG,NA,0,UT Martin,UTM,NA,1,"@Jackson, MS",9,2015-02-13,2015,WAC,OVC
UT Arlington,UTA,NA,2,Missouri St.,MOST,NA,7,"@Nacogdoches, Texas",9,2015-02-13,2015,Sun Belt,MVC
Notre Dame,ND,NA,7,SIUE,SIUE,NA,6,"@Norman, Okla.",9,2015-02-13,2015,ACC,OVC
Gonzaga,GU,NA,3,Utah Valley,UVU,NA,2,"@Northridge, CA",9,2015-02-13,2015,WCC,WAC
Bradley,BRAD,NA,6,Omaha,OMA,NA,1,"@Phoenix, AZ",9,2015-02-13,2015,MVC,Summit League
Iowa,IOWA,NA,4,Kansas St.,KSU,NA,5,"@Port Charlotte, Fla.",9,2015-02-13,2015,Big Ten,Big 12
Ohio St.,OSU,NA,4,George Mason,GMU,NA,3,"@Port Charlotte, Fla.",9,2015-02-13,2015,Big Ten,Atlantic 10
Saint Louis,SLU,NA,1,Pittsburgh,PITT,NA,18,"@Port Charlotte, Fla.",9,2015-02-13,2015,Atlantic 10,ACC
Davidson,DAV,NA,5,Appalachian St.,APST,NA,3,"@Raleigh, N.C.",9,2015-02-13,2015,Atlantic 10,Sun Belt
Army West Point,ARMY,NA,4,Xavier,XAV,NA,5,"@Spartanburg, SC",9,2015-02-13,2015,Patriot,Big East
Cincinnati,UC,NA,3,Miami (OH),MU,NA,1,"@Starkville, Miss.",9,2015-02-13,2015,AAC,MAC
New Mexico,NMU,NA,3,Michigan St.,MSU,NA,9,"@Surprise, Ariz.",9,2015-02-13,2015,MWC,Big Ten
Oregon St.,ORST,NA,2,Northwestern,NW,NA,1,"@Surprise, Ariz.",9,2015-02-13,2015,Pac-12,Big Ten
Ball St.,BSU,NA,7,Kentucky,UK,NA,11,"@Wilmington, N.C.",9,2015-02-13,2015,MAC,SEC
Georgetown,GTWN,NA,0,Delaware,DEL,NA,3,"@Winston-Salem, N.C.",9,2015-02-13,2015,Big East,CAA
VCU,VCU,NA,6,Georgetown,GTWN,NA,3,"@Winston-Salem, N.C.",9,2015-02-13,2015,Atlantic 10,Big East
Maine,UME,NA,0,Milwaukee,MIL,NA,10,"@Winter Haven, Fla.",9,2015-02-13,2015,America East,Horizon
Sacramento St.,SAC,NA,4,Utah,UTAH,NA,6,NA,9,2015-02-13,2015,WAC,Pac-12
CSUN,CSUN,NA,4,Utah Valley,UVU,NA,2,NA,9,2015-02-13,2015,Big West,WAC
Grambling,GSU,NA,2,Central Ark.,UCA,NA,8,"@Monroe, La.",9,2015-02-13,2015,SWAC,Southland
Oral Roberts,ORU,NA,3,Memphis,MEM,NA,1,NA,9,2015-02-13,2015,Summit League,AAC
Campbell,CAMP,NA,10,Northern Ky.,NKU,NA,1,NA,9,2015-02-13,2015,Big South,ASUN
Lipscomb,LIP,NA,9,Butler,BUT,NA,3,NA,9,2015-02-13,2015,ASUN,Big East
Mercer,MER,NA,9,Virginia Tech,VTU,NA,1,NA,9,2015-02-13,2015,SoCon,ACC
Missouri,MIZ,NA,4,Iona,IONA,NA,3,"@Cary, N.C.",9,2015-02-13,2015,SEC,MAAC
Southeast Mo. St.,SEMO,NA,6,Bowling Green,BG,NA,7,NA,9,2015-02-13,2015,OVC,MAC
Mississippi Val.,MVSU,NA,5,UIC,UIC,NA,24,NA,9,2015-02-13,2015,SWAC,Horizon
Alabama A&M,AAMU,NA,5,Purdue Fort Wayne,PUFW,NA,15,NA,8,2015-02-13,2015,SWAC,Summit League
Savannah St.,SVST,NA,10,Alcorn,ALCN,NA,5,NA,9,2015-02-13,2015,MEAC,SWAC
Alabama A&M,AAMU,NA,0,Purdue Fort Wayne,PUFW,NA,2,NA,7,2015-02-13,2015,SWAC,Summit League
Southeast Mo. St.,SEMO,NA,6,Bowling Green,BG,NA,5,NA,7,2015-02-13,2015,OVC,MAC
Missouri,MIZ,NA,1,Iona,IONA,NA,0,"@Cary, N.C.",9,2015-02-13,2015,SEC,MAAC
Savannah St.,SVST,NA,11,Alcorn,ALCN,NA,1,NA,8,2015-02-13,2015,MEAC,SWAC
Florida St.,FSU,NA,15,Oakland,OAK,NA,2,NA,9,2015-02-14,2015,ACC,Horizon
Arizona St.,ASU,NA,5,Oklahoma St.,OKST,NA,3,NA,9,2015-02-14,2015,Pac-12,Big 12
Hawaii,HAW,NA,2,Oregon,UO,NA,3,NA,9,2015-02-14,2015,Big West,Pac-12
Jackson St.,JKST,NA,0,UTRGV,UTRG,NA,7,NA,9,2015-02-14,2015,SWAC,WAC
Houston Baptist,HBU,NA,8,Prairie View,PV,NA,3,NA,9,2015-02-14,2015,Southland,SWAC
Samford,SAMF,NA,10,Radford,RAD,NA,8,NA,9,2015-02-14,2015,SoCon,Big South
Florida,UF,NA,22,Rhode Island,URI,NA,3,NA,9,2015-02-14,2015,SEC,Atlantic 10
A&M-Corpus Christi,AMCC,NA,12,Saint Peter's,SAIN,NA,0,NA,7,2015-02-14,2015,Southland,MAAC
NA,NA,NA,3,San Jose St.,SJSU,NA,1,NA,9,2015-02-14,2015,NA,MWC
UCF,UCF,NA,13,Siena,SIE,NA,4,NA,9,2015-02-14,2015,AAC,MAAC
Austin Peay,PEAY,NA,3,South Dakota St.,SDST,NA,1,NA,9,2015-02-14,2015,OVC,Summit League
TCU,TCU,NA,16,Southern Ill.,SIU,NA,4,NA,9,2015-02-14,2015,Big 12,MVC
Oklahoma,OU,NA,11,SIUE,SIUE,NA,1,NA,9,2015-02-14,2015,Big 12,OVC
SFA,SFA,NA,4,Missouri St.,MOST,NA,5,NA,9,2015-02-14,2015,Southland,MVC
UTSA,UTSA,NA,2,Louisiana,ULL,NA,8,NA,9,2015-02-14,2015,C-USA,Sun Belt
Nicholls St.,NIST,NA,4,Stony Brook,SB,NA,1,NA,9,2015-02-14,2015,Southland,America East
FIU,FIU,NA,2,Tennessee,TENN,NA,9,NA,9,2015-02-14,2015,C-USA,SEC
Jackson St.,JKST,NA,20,UT Martin,UTM,NA,10,NA,9,2015-02-14,2015,SWAC,OVC
Belmont,BEL,NA,18,Toledo,TOL,NA,5,NA,9,2015-02-14,2015,OVC,MAC
Southern California,USC,NA,10,Towson,TOW,NA,0,NA,9,2015-02-14,2015,Pac-12,CAA
Pepperdine,PEPP,NA,5,Tulane,TUL,NA,9,NA,9,2015-02-14,2015,WCC,AAC
San Diego St.,SDSU,NA,22,Valparaiso,VAL,NA,12,NA,9,2015-02-14,2015,MWC,Horizon
North Florida,UNF,NA,16,VMI,VMI,NA,11,NA,9,2015-02-14,2015,ASUN,SoCon
Pacific,PAC,NA,4,Washington,UW,NA,7,NA,9,2015-02-14,2015,WCC,Pac-12
Clemson,CLEM,NA,4,West Virginia,WVU,NA,2,NA,9,2015-02-14,2015,ACC,Big 12
Coastal Caro.,CCU,NA,4,Western Ky.,WKU,NA,9,NA,9,2015-02-14,2015,Big South,C-USA
Sam Houston St.,SHSU,NA,3,Wichita St.,WICH,NA,4,NA,9,2015-02-14,2015,Southland,MVC
Wofford,WOF,NA,11,Xavier,XAV,NA,3,NA,9,2015-02-14,2015,SoCon,Big East
La.-Monroe,ULM,NA,4,Central Ark.,UCA,NA,10,NA,9,2015-02-14,2015,Sun Belt,Southland
McNeese,MCNS,NA,8,Ark.-Pine Bluff,ARPB,NA,4,NA,9,2015-02-14,2015,Southland,SWAC
Wake Forest,WF,NA,12,Bucknell,BUCK,NA,16,NA,9,2015-02-14,2015,ACC,Patriot
Southeast Mo. St.,SEMO,NA,5,Bowling Green,BG,NA,1,NA,9,2015-02-14,2015,OVC,MAC
USC Upstate,USCU,NA,9,Army West Point,ARMY,NA,11,NA,9,2015-02-14,2015,ASUN,Patriot
Wake Forest,WF,NA,1,VCU,VCU,NA,0,NA,9,2015-02-14,2015,ACC,Atlantic 10
N.C. Central,NCCU,NA,6,Norfolk St.,NORF,NA,1,NA,9,2015-02-14,2015,MEAC,MEAC
Illinois,ILL,NA,4,New Mexico St.,NMST,NA,2,"@Beaumont, Texas",9,2015-02-14,2015,Big Ten,WAC
Wright St.,WRST,NA,7,Toledo,TOL,NA,4,"@Belmont,",9,2015-02-14,2015,Horizon,MAC
Northern Ill.,NIU,NA,15,Niagara,NU,NA,5,"@Clarksville, TN",9,2015-02-14,2015,MAC,MAAC
Cal St. Fullerton,CSF,NA,2,Alabama St.,ALST,NA,3,"@Clearwater, Fla.",9,2015-02-14,2015,Big West,SWAC
South Fla.,USF,NA,3,Louisville,UL,NA,7,"@Clearwater, Fla.",9,2015-02-14,2015,AAC,ACC
Maryland,UMD,NA,8,Canisius,CAN,NA,4,"@Conway, S.C.",9,2015-02-14,2015,Big Ten,MAAC
Old Dominion,ODU,NA,2,Maryland,UMD,NA,5,"@Conway, S.C.",9,2015-02-14,2015,C-USA,Big Ten
UT Martin,UTM,NA,7,UTRGV,UTRG,NA,8,"@Jackson, MS",9,2015-02-14,2015,OVC,WAC
Washington St.,WSU,NA,8,UT Arlington,UTA,NA,2,"@Nacogdoches, Texas",9,2015-02-14,2015,Pac-12,Sun Belt
North Dakota St.,NDSU,NA,3,Bradley,BRAD,NA,8,"@Phoenix, AZ",10,2015-02-14,2015,Summit League,MVC
Iowa,IOWA,NA,4,Saint Louis,SLU,NA,2,"@Port Charlotte, FL",9,2015-02-14,2015,Big Ten,Atlantic 10
Kansas St.,KSU,NA,0,George Mason,GMU,NA,5,"@Port Charlotte, Fla.",9,2015-02-14,2015,Big 12,Atlantic 10
Pittsburgh,PITT,NA,0,Kansas St.,KSU,NA,7,"@Port Charlotte, Fla.",9,2015-02-14,2015,ACC,Big 12
Ohio St.,OSU,NA,6,Saint Louis,SLU,NA,5,"@Port Charlotte, Fla.",9,2015-02-14,2015,Big Ten,Atlantic 10
Appalachian St.,APST,NA,5,Villanova,VU,NA,2,"@Raleigh, N.C.",9,2015-02-14,2015,Sun Belt,Big East
Xavier,XAV,NA,7,Boston College,BC,NA,14,"@Spartanburg, S.C.",9,2015-02-14,2015,Big East,ACC
Dayton,DAY,NA,6,Army West Point,ARMY,NA,12,"@Spartanburg, SC",9,2015-02-14,2015,Atlantic 10,Patriot
New Mexico,NMU,NA,5,Northwestern,NW,NA,3,"@Surprise, Ariz.",9,2015-02-14,2015,MWC,Big Ten
Oregon St.,ORST,NA,4,Michigan St.,MSU,NA,3,"@Surprise, Ariz.",10,2015-02-14,2015,Pac-12,Big Ten
Kentucky,UK,NA,10,Richmond,RICH,NA,1,"@Wilmington, N.C.",9,2015-02-14,2015,SEC,Atlantic 10
Bucknell,BUCK,NA,5,Georgetown,GTWN,NA,8,"@Winston-Salem, N.C.",9,2015-02-14,2015,Patriot,Big East
CSUN,CSUN,NA,6,Gonzaga,GU,NA,2,NA,9,2015-02-14,2015,Big West,WCC
Sacramento St.,SAC,NA,10,Utah,UTAH,NA,3,NA,9,2015-02-14,2015,WAC,Pac-12
Mercer,MER,NA,4,Virginia Tech,VTU,NA,11,NA,9,2015-02-14,2015,SoCon,ACC
CSUN,CSUN,NA,6,Utah Valley,UVU,NA,0,NA,9,2015-02-14,2015,Big West,WAC
Indiana St.,INST,NA,15,Grambling,GSU,NA,5,"@Monroe, La.",8,2015-02-14,2015,MVC,SWAC
Furman,FURM,NA,8,NA,NA,NA,7,NA,10,2015-02-14,2015,SoCon,NA
Savannah St.,SVST,NA,4,Alcorn,ALCN,NA,9,NA,9,2015-02-14,2015,MEAC,SWAC
UNCW,UNCW,NA,4,Ball St.,BSU,NA,2,NA,9,2015-02-14,2015,CAA,MAC
Ga. Southern,GASO,NA,12,Bethune-Cookman,BCU,NA,8,NA,9,2015-02-14,2015,Sun Belt,MEAC
Auburn,AUB,NA,5,Binghamton,BING,NA,11,NA,9,2015-02-14,2015,SEC,America East
USC Upstate,USCU,NA,4,Boston College,BC,NA,5,NA,9,2015-02-14,2015,ASUN,ACC
Gardner-Webb,GW,NA,7,NA,NA,NA,1,NA,9,2015-02-14,2015,Big South,NA
Baylor,BAY,NA,8,Cal Poly,CP,NA,6,NA,9,2015-02-14,2015,Big 12,Big West
Texas St.,TXST,NA,2,UC Davis,UCD,NA,5,NA,9,2015-02-14,2015,Sun Belt,Big West
Fresno St.,FRES,NA,7,UC Irvine,UCI,NA,5,NA,9,2015-02-14,2015,MWC,Big West
Fla. Atlantic,FAU,NA,2,UConn,CONN,NA,1,NA,11,2015-02-14,2015,C-USA,AAC
CSU Bakersfield,CSUB,NA,1,Creighton,CREI,NA,5,NA,9,2015-02-14,2015,WAC,Big East
NC State,NCST,NA,8,Davidson,DAV,NA,3,NA,9,2015-02-14,2015,ACC,Atlantic 10
California,CAL,NA,3,Duke,DUKE,NA,2,NA,9,2015-02-14,2015,Pac-12,ACC
Georgia,UGA,NA,10,Eastern Ill.,EIU,NA,2,NA,9,2015-02-14,2015,SEC,OVC
ETSU,ETSU,NA,12,Eastern Ky.,EKU,NA,2,NA,9,2015-02-14,2015,SoCon,OVC
Arizona,ARIZ,NA,16,Eastern Mich.,EMU,NA,3,NA,9,2015-02-14,2015,Pac-12,MAC
UCLA,UCLA,NA,18,Hofstra,HOF,NA,1,NA,9,2015-02-14,2015,Pac-12,CAA
Texas A&M,TAMU,NA,16,Holy Cross,HC,NA,11,NA,9,2015-02-14,2015,SEC,Patriot
Stanford,STAN,NA,3,Indiana,IU,NA,4,NA,10,2015-02-14,2015,Pac-12,Big Ten
Gardner-Webb,GW,NA,10,James Madison,JMU,NA,0,NA,9,2015-02-14,2015,Big South,CAA
LSU,LSU,NA,8,Kansas,KU,NA,5,NA,9,2015-02-14,2015,SEC,Big 12
Stetson,STE,NA,2,La Salle,LS,NA,11,NA,9,2015-02-14,2015,ASUN,Atlantic 10
Southeastern La.,SELA,NA,6,Louisiana Tech,LTU,NA,1,NA,9,2015-02-14,2015,Southland,C-USA
Florida A&M,FAMU,NA,2,Marshall,MRSH,NA,24,NA,9,2015-02-14,2015,MEAC,C-USA
Alabama,ALA,NA,11,UMES,UMES,NA,0,NA,9,2015-02-14,2015,SEC,MEAC
Long Beach St.,LBST,NA,7,Michigan,UM,NA,2,NA,9,2015-02-14,2015,Big West,Big Ten
Jacksonville,JAC,NA,5,Middle Tenn.,MTU,NA,8,NA,9,2015-02-14,2015,ASUN,C-USA
Houston,UH,NA,5,Minnesota,MIN,NA,0,NA,9,2015-02-14,2015,AAC,Big Ten
DBU,DBU,NA,6,Monmouth,MON,NA,1,NA,9,2015-02-14,2015,MVC,MAAC
Southern Miss.,USM,NA,10,Murray St.,MUR,NA,3,NA,9,2015-02-14,2015,C-USA,OVC
High Point,HPU,NA,12,UNC Greensboro,UNCG,NA,2,NA,9,2015-02-14,2015,Big South,SoCon
UNLV,UNLV,NA,5,Nebraska,NEB,NA,3,NA,9,2015-02-14,2015,MWC,Big Ten
Grand Canyon,GCU,NA,8,Omaha,OMA,NA,1,NA,9,2015-02-14,2015,WAC,Summit League
Abilene Christian,ACU,NA,6,Nevada,NEV,NA,9,NA,9,2015-02-14,2015,Southland,MWC
South Alabama,SAU,NA,8,New Orleans,UNO,NA,2,NA,9,2015-02-14,2015,Sun Belt,Southland
NA,NA,NA,6,Northeastern,NEU,NA,1,NA,9,2015-02-14,2015,NA,CAA
Oklahoma,OU,NA,9,Notre Dame,ND,NA,10,NA,9,2015-02-14,2015,Big 12,ACC
Missouri,MIZ,NA,6,Iona,IONA,NA,3,"@Cary, N.C.",9,2015-02-14,2015,SEC,MAAC
Maine,UME,NA,3,Milwaukee,MIL,NA,12,"@Winter Haven, Fla.",7,2015-02-14,2015,America East,Horizon
UC Santa Barbara,UCSB,NA,6,BYU,BYU,NA,0,NA,9,2015-02-14,2015,Big West,WCC
FGCU,FGCU,NA,6,Central Mich.,CMU,NA,4,NA,9,2015-02-14,2015,ASUN,MAC
Presbyterian,PRES,NA,16,Delaware St.,DEST,NA,3,NA,9,2015-02-14,2015,Big South,MEAC
